5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,SCATS
1/10/2006 0:00,46,1,100,3001
1/10/2006 0:15,43,1,100,3001
1/10/2006 0:30,43,1,100,3001
1/10/2006 0:45,87,1,100,3001
1/10/2006 1:00,59,1,100,3001
1/10/2006 1:15,31,1,100,3001
1/10/2006 1:30,31,1,100,3001
1/10/2006 1:45,35,1,100,3001
1/10/2006 2:00,34,1,100,3001
1/10/2006 2:15,37,1,100,3001
1/10/2006 2:30,27,1,100,3001
1/10/2006 2:45,33,1,100,3001
1/10/2006 3:00,21,1,100,3001
1/10/2006 3:15,29,1,100,3001
1/10/2006 3:30,27,1,100,3001
1/10/2006 3:45,14,1,100,3001
1/10/2006 4:00,13,1,100,3001
1/10/2006 4:15,18,1,100,3001
1/10/2006 4:30,29,1,100,3001
1/10/2006 4:45,33,1,100,3001
1/10/2006 5:00,18,1,100,3001
1/10/2006 5:15,20,1,100,3001
1/10/2006 5:30,28,1,100,3001
1/10/2006 5:45,38,1,100,3001
1/10/2006 6:00,23,1,100,3001
1/10/2006 6:15,22,1,100,3001
1/10/2006 6:30,55,1,100,3001
1/10/2006 6:45,53,1,100,3001
1/10/2006 7:00,46,1,100,3001
1/10/2006 7:15,40,1,100,3001
1/10/2006 7:30,49,1,100,3001
1/10/2006 7:45,68,1,100,3001
1/10/2006 8:00,98,1,100,3001
1/10/2006 8:15,49,1,100,3001
1/10/2006 8:30,54,1,100,3001
1/10/2006 8:45,63,1,100,3001
1/10/2006 9:00,100,1,100,3001
1/10/2006 9:15,100,1,100,3001
1/10/2006 9:30,116,1,100,3001
1/10/2006 9:45,142,1,100,3001
1/10/2006 10:00,144,1,100,3001
1/10/2006 10:15,139,1,100,3001
1/10/2006 10:30,145,1,100,3001
1/10/2006 10:45,189,1,100,3001
1/10/2006 11:00,135,1,100,3001
1/10/2006 11:15,131,1,100,3001
1/10/2006 11:30,131,1,100,3001
1/10/2006 11:45,170,1,100,3001
1/10/2006 12:00,182,1,100,3001
1/10/2006 12:15,139,1,100,3001
1/10/2006 12:30,164,1,100,3001
