loss,mape,val_loss,val_mape
0.017164401710033417,1197323.875,0.016269657760858536,1074109.5
0.016454165801405907,1179003.75,0.016337081789970398,1107676.875
0.016423847526311874,1178152.375,0.016288254410028458,1086248.375
0.016398238018155098,1178499.625,0.016255972906947136,1029794.4375
0.016381913796067238,1179472.5,0.016274435445666313,1077648.0
0.016367154195904732,1179499.125,0.016254017129540443,1056584.25
0.01635485701262951,1179173.125,0.016251537948846817,1049851.25
0.016344500705599785,1178638.875,0.01627969741821289,1081270.25
0.016337335109710693,1179506.625,0.016279855743050575,1081378.5
0.016329528763890266,1178189.125,0.016253823414444923,1056244.25
