loss,mape,val_loss,val_mape
0.01764044165611267,1210883.625,0.016354504972696304,976694.25
0.016432777047157288,1177962.75,0.01631920412182808,988789.6875
0.016404299065470695,1178721.125,0.01629505306482315,1089559.75
0.016385283321142197,1179139.0,0.016250954940915108,1045182.5
0.016369018703699112,1179183.375,0.016255196183919907,1030521.75
0.016358228400349617,1179030.75,0.01625847816467285,1063382.75
0.01634615659713745,1178103.25,0.016254490241408348,1057490.0
0.016338830813765526,1179890.625,0.016269683837890625,1074192.125
0.016331790015101433,1178309.0,0.016319217160344124,1101047.5
0.01632586121559143,1178719.875,0.016273686662316322,1077206.5
